name,address,phone_national,phone_international,website,rating,total_ratings,business_status,google_maps_url,opening_hours,category,region,town,price,date_scraped
Ortho,"Ground Floor/31 Peach Parade, Remuera, Auckland 1050, New Zealand",09 520 0755,+64 9 520 0755,http://ortho.co.nz/,5,8,OPERATIONAL,https://maps.google.com/?cid=3355560511559941366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Remuera Auckland,no_prices,2026-03-18
Ortho Takapuna,"19 Como Street, Takapuna, Auckland 0622, New Zealand",09 520 0755,+64 9 520 0755,http://ortho.co.nz/,5,1,OPERATIONAL,https://maps.google.com/?cid=9141615188526290476&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: Closed; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Takapuna Auckland,no_prices,2026-03-18
A+ Dentists,"4 Fencible Chambers, Fencible Dr, Howick, Auckland 2014, New Zealand",09 534 7916,+64 9 534 7916,https://www.aplusdentists.co.nz/?utm_source=GBP&utm_medium=organic,5,143,OPERATIONAL,https://maps.google.com/?cid=17339804151110224848&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 7:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,dental_clinic,Auckland,Howick Auckland,no_prices,2026-03-18
ARDS,"19 Oakway Drive, Schnapper Rock, Auckland 0632, New Zealand",09 415 2059,+64 9 415 2059,http://www.ards.co.nz/,,,OPERATIONAL,https://maps.google.com/?cid=4733833485531353163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 4:30 PM; Tuesday: 8:00 AM – 4:30 PM; Wednesday: 8:00 AM – 4:30 PM; Thursday: 8:00 AM – 4:30 PM; Friday: 8:00 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
ARDS Childrens Dental Clinic Ponsonby,"33 Sheehan Street, Ponsonby, Auckland 1011, New Zealand",09 376 6327,+64 9 376 6327,http://www.ards.co.nz/,4.3,11,OPERATIONAL,https://maps.google.com/?cid=6816230319734341357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:15 AM – 4:00 PM; Tuesday: 8:15 AM – 4:00 PM; Wednesday: 8:15 AM – 4:00 PM; Thursday: 8:15 AM – 4:00 PM; Friday: 8:15 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Ponsonby Auckland,no_prices,2026-03-18
Accent Dentists - Cosmetic Dentist,"332 Ponsonby Road, Ponsonby, Auckland 1011, New Zealand",09 376 4374,+64 9 376 4374,http://www.accentdentists.co.nz/,5,320,OPERATIONAL,https://maps.google.com/?cid=13614376208500756646&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:30 PM; Tuesday: 8:00 AM – 5:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Adent dental,"Unit B/3 Matua Road, Kumeu, Huapai 0810, New Zealand",09 281 5005,+64 9 281 5005,http://www.adent.co.nz/,4.9,47,OPERATIONAL,https://maps.google.com/?cid=11316922993015096027&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Auckland,Huapai Auckland,no_prices,2026-03-18
Advanced Dental Care Manurewa | Lumino The Dentists,"7 Hill Road, Manurewa, Auckland 2102, New Zealand",09 266 6423,+64 9 266 6423,https://lumino.co.nz/dentists/advanced-dental-care-manurewa/?utm_source=google_business_profile&utm_medium=organic,4.6,58,OPERATIONAL,https://maps.google.com/?cid=10684109826228048960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:30 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 4:30 PM; Saturday: 9:00 AM – 1:00 PM; Sunday: Closed,dental_clinic,Auckland,Manurewa Auckland,no_prices,2026-03-18
Aevitas Dentistry,"106 Carlton Gore Road, Newmarket, Auckland 1023, New Zealand",09 368 9229,+64 9 368 9229,https://www.aevitasnewmarketdentist.co.nz/,4.4,31,OPERATIONAL,https://maps.google.com/?cid=15044934369241751261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Newmarket Auckland,no_prices,2026-03-18
Affordable Dentist Te Atatu,"269 Te Atatu Road, Te Atatu, Auckland 0610, New Zealand",09 834 9094,+64 9 834 9094,https://www.affordabledentists.co.nz/,5,436,OPERATIONAL,https://maps.google.com/?cid=11534749650832350081&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 5:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 5:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: Closed,dental_clinic,Auckland,Henderson Auckland,no_prices,2026-03-18
Affordable Dentists Ellerslie,"2/2 Robert Street, Ellerslie, Auckland 1051, New Zealand",09 525 5913,+64 9 525 5913,https://affordabledentists.co.nz/,5,411,OPERATIONAL,https://maps.google.com/?cid=14989230122893064217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 5:00 PM; Tuesday: 8:30 AM – 6:30 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 6:00 PM; Friday: 8:00 AM – 4:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Affordable Denture Clinic Remuera,"2/137 Abbotts Way, Remuera, Auckland 1050, New Zealand",09 217 3068,+64 9 217 3068,https://www.affordabledentures.co.nz/,,,OPERATIONAL,https://maps.google.com/?cid=587470165468346967&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 AM – 6:30 PM; Tuesday: 10:00 AM – 6:30 PM; Wednesday: 10:00 AM – 6:30 PM; Thursday: 10:00 AM – 6:30 PM; Friday: 10:00 AM – 6:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Remuera Auckland,no_prices,2026-03-18
Airport Dental Services,"3/400 George Bolt Memorial Drive, Māngere, Auckland 2022, New Zealand",,,,4.3,7,OPERATIONAL,https://maps.google.com/?cid=5218585972801610069&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Auckland,Mangere Auckland,no_prices,2026-03-18
Airport Oaks Dental Centre,"149 b Kirkbride Road, Māngere, Auckland 2022, New Zealand",09 275 6660,+64 9 275 6660,https://airportoaksdental.co.nz/,4.1,42,OPERATIONAL,https://maps.google.com/?cid=12259447028995497217&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 5:00 PM; Thursday: 8:30 AM – 7:00 PM; Friday: 8:30 AM – 5:00 PM; Saturday: 8:30 AM – 2:00 PM; Sunday: Closed,dental_clinic,Auckland,Mangere Auckland,no_prices,2026-03-18
Alba Smile Lounge,"7 Queen Street Shop 9a Level 2 Commercial Bay, Auckland CBD, Auckland 1010, New Zealand",09 869 6396,+64 9 869 6396,http://www.albasmilelounge.co.nz/,5,43,OPERATIONAL,https://maps.google.com/?cid=7302547182968925351&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 10:00 AM – 6:00 PM; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 7:00 PM; Friday: 10:00 AM – 7:00 PM; Saturday: 10:00 AM – 7:00 PM; Sunday: 10:00 AM – 5:00 PM,dental_clinic,Auckland,Auckland CBD,no_prices,2026-03-18
Albany Central Dental,"3/287 Oteha Valley Road, Albany, Auckland 0632, New Zealand",09 415 9090,+64 9 415 9090,http://www.albanycentraldental.co.nz/,4.3,22,OPERATIONAL,https://maps.google.com/?cid=9703801254528081219&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 5:30 PM; Tuesday: 8:30 AM – 5:30 PM; Wednesday: 8:30 AM – 5:30 PM; Thursday: 8:30 AM – 5:30 PM; Friday: 8:30 AM – 5:30 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
Albany Dental,"Unit L/4 Antares Place, Albany, Auckland 0632, New Zealand",09 443 7007,+64 9 443 7007,http://www.albanydental.co.nz/,4.9,47,OPERATIONAL,https://maps.google.com/?cid=4444961458284051184&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:00 AM – 7:00 PM; Tuesday: 8:00 AM – 7:00 PM; Wednesday: 7:30 AM – 3:30 PM; Thursday: 9:00 AM – 6:30 PM; Friday: 9:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
Albany Dental Surgery,"13/231 Dairy Flat Highway, Albany, Auckland 0632, New Zealand",09 415 9377,+64 9 415 9377,http://www.albanydentalsurgery.co.nz/,4.6,12,OPERATIONAL,https://maps.google.com/?cid=1057800145297319200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 8:30 AM – 6:00 PM; Tuesday: 8:30 AM – 5:00 PM; Wednesday: 8:30 AM – 6:00 PM; Thursday: 8:30 AM – 5:00 PM; Friday: 9:00 AM – 2:00 PM; Saturday: 9:00 AM – 2:00 PM; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
Albany Mega Centre Dental,"75 Corinthian Drive, Albany, North Shore 0632, New Zealand",09 415 0828,+64 9 415 0828,http://albanydentist.co.nz/,4.9,65,OPERATIONAL,https://maps.google.com/?cid=5569261972356111222&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 10:00 AM – 2:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 8:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
Albany Village Dental,"C3/210 Dairy Flat Highway, Albany, Auckland 0632, New Zealand",09 448 2289,+64 9 448 2289,http://albanyvillagedental.co.nz/,4.8,67,OPERATIONAL,https://maps.google.com/?cid=5811049122836808394&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Monday: 9:00 AM – 6:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 9:00 AM – 6:00 PM; Thursday: 9:00 AM – 6:00 PM; Friday: 9:00 AM – 6:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
Albany children’s community dental clinic,"19 Oakway Drive, Schnapper Rock, Auckland 0632, New Zealand",09 415 2059,+64 9 415 2059,,3.6,10,OPERATIONAL,https://maps.google.com/?cid=4643095966613784989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,dental_clinic,Auckland,Albany Auckland,no_prices,2026-03-18
